overall_game_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,win
-3,14.46,14.28,60.0,100.0,0.0,-2.21,0
3,-14.46,-14.28,-60.0,-100.0,-0.0,2.21,1
5,-18.75,-28.57,20.0,0.0,0.0,0.0,1
-5,18.75,28.57,-20.0,-0.0,-0.0,-0.0,0
-2,6.82,0.0,-33.34,-100.0,-14.29,-12.08,0
2,-6.82,0.0,33.34,100.0,14.29,12.08,1
-3,14.29,28.57,-20.0,0.0,0.0,-6.25,1
3,-14.29,-28.57,20.0,-0.0,-0.0,6.25,0
-1,4.82,7.14,60.0,100.0,0.0,-2.23,1
1,-4.82,-7.14,-60.0,-100.0,-0.0,2.23,0
-1,10.97,0.0,0.0,0.0,28.57,25.0,1
1,-10.97,0.0,-0.0,-0.0,-28.57,-25.0,0
-3,12.32,21.43,0.0,0.0,28.57,18.89,1
3,-12.32,-21.43,-0.0,-0.0,-28.57,-18.89,0
-1,3.75,14.29,60.0,100.0,-14.28,-9.58,0
1,-3.75,-14.29,-60.0,-100.0,14.28,9.58,1
1,2.4,-7.14,-33.34,-100.0,-14.28,-3.47,1
-1,-2.4,7.14,33.34,100.0,14.28,3.47,0
-3,20.08,21.43,60.0,100.0,14.28,13.33,1
3,-20.08,-21.43,-60.0,-100.0,-14.28,-13.33,0
-1,1.43,14.28,33.34,100.0,14.28,2.94,1
1,-1.43,-14.28,-33.34,-100.0,-14.28,-2.94,0
-1,10.83,14.28,0.0,0.0,28.57,15.0,1
1,-10.83,-14.28,-0.0,-0.0,-28.57,-15.0,0
-3,24.33,28.57,0.0,0.0,42.86,29.41,1
3,-24.33,-28.57,-0.0,-0.0,-42.86,-29.41,0
-1,11.07,7.15,20.0,0.0,0.0,7.06,1
1,-11.07,-7.15,-20.0,-0.0,-0.0,-7.06,0
1,-2.43,-7.14,0.0,0.0,-14.29,-7.35,0
-1,2.43,7.14,-0.0,-0.0,14.29,7.35,1
-3,5.48,7.14,20.0,0.0,28.57,22.22,0
3,-5.48,-7.14,-20.0,-0.0,-28.57,-22.22,1
